GEF_ID,Agency,Region,Country,Title,GEF replenishment phase,Status,GEF4 SP list,GEF_ProjectGrant_CALC,CoFinance_CALC,Endorced/Approved Date,Actual date of implementation start,Date_start_CALC,Date_start_year
457,UNDP/UNEP,AFR,1 Regional,Biological Diversity Conservation through Participatory Rehabilitation of the Degraded Lands of the Arid and Semi-Arid Transboundary Areas of Mauritania and Senegal,GEF - 1,Project Completion,,7891000,4370000,8/23/2000,10/2/2000,10/2/2000,2000
504,UNEP/UNDP,AFR,1 Regional,Management of Indigenous Vegetation for the Rehabilitation of Degraded Rangelands in the Arid Zone of Africa,GEF - 2,Project Completion,,8724000,3550000,2/22/2001,6/8/2001,6/8/2001,2001
762,World Bank,AFR,1 Regional,Maloti-Drakensberg Conservation and Development Project,GEF - 2,Project Completion,,15250000,18300000,4/24/2000,11/27/2002,11/27/2002,2002
1258,UNEP,REG,1 Regional,Enhancing Conservation of the Critical Network of Sites of Wetlands Required by Migratory Waterbirds on the African/Eurasian Flyways.,GEF - 3,Project Completion,,6000000,6195229,12/14/2005,6/1/2006,6/1/2006,2006
1490,UNDP,Asia,1 Regional,Mekong River Basin Wetland Biodiversity Conservation and Sustainable Use Program,GEF - 2,Project Completion,,4109134,9064487,6/10/2004,7/19/2004,7/19/2004,2004
2140,UNEP,REG,1 Regional,Removing Barriers to Invasive Plant Management in Africa,GEF - 3,Project Completion,,5000000,6173980,10/12/2005,1/1/2006,1/1/2006,2006
2173,UNEP,REG,1 Regional,Sustainable Land Use Planning for Integrated Land and Water Management for Disaster Preparedness and Vulnerability Reduction in the Lower Limpopo Basin,GEF - 3,Project Completion,,970000,1827500,6/15/2004,1/1/2005,1/1/2005,2005
2396,UNEP,REG,1 Regional,Dryland Livestock Wildlife Environment Interface Project (DLWEIP),GEF - 3,Project Completion,,975000,2356000,5/11/2005,8/29/2005,8/29/2005,2005
2614,UNDP,AFR,1 Regional,Adaptation to Climate Change - Responding to Shoreline Change and its human dimensions in West Africa through integrated coastal area management.,GEF - 3,Project Completion,,3300000,9729517,8/29/2007,5/23/2008,5/23/2008,2008
2950,World Bank/IFC,AFR,1 Regional,"Lighting the ""Bottom of the Pyramid""",GEF - 3,Project Completion,,5400000,6750000,7/30/2007,10/10/2007,10/10/2007,2007
3044,World Bank,AFR,1 Regional,Open Africa North South Tourism Corridor (OANSTC),GEF - 4,Project Completion,BD-2;,540000,632000,4/25/2008,5/30/2008,5/30/2008,2008
1907,ADB,Asia,Afghanistan,Natural Resources and Poverty Alleviation Project,GEF - 3,Project Completion,,975000,750000,12/16/2003,1/11/2005,1/11/2005,2005
